Country,Continent,Population_Millions,GDP_Billion_USD,Life_Expectancy,Internet_Penetration_Pct,Urban_Population_Pct
United States,North America,335.8,26950.0,77.3,92.0,83.1
China,Asia,1411.8,17700.0,78.2,75.6,65.2
Japan,Asia,124.5,4210.0,84.6,93.0,91.9
Germany,Europe,84.4,4460.0,81.0,91.5,77.5
India,Asia,1428.6,3730.0,67.2,52.0,36.0,
United Kingdom,Europe,67.7,3340.0,80.7,97.0,84.4
France,Europe,68.1,3030.0,82.3,92.0,81.5
Brazil,South America,216.4,2170.0,72.8,81.0,87.6
Canada,North America,38.9,2140.0,82.6,94.0,81.8
South Korea,Asia,51.7,1710.0,83.6,97.2,81.4
Australia,Oceania,26.4,1690.0,83.3,96.0,86.5
Mexico,North America,128.5,1470.0,74.8,76.0,81.0
Indonesia,Asia,277.5,1370.0,67.6,66.0,57.9
Saudi Arabia,Asia,36.9,1070.0,76.9,100.0,84.7
Turkey,Asia/Europe,85.8,1150.0,76.0,83.0,77.0
Switzerland,Europe,8.8,885.0,83.9,98.0,74.0
South Africa,Africa,60.4,377.0,62.3,72.0,68.3
Nigeria,Africa,223.8,477.0,52.7,55.0,53.5
Egypt,Africa,112.7,398.0,70.2,72.0,43.0
Singapore,Asia,5.9,501.0,83.7,92.0,100.0
