Ticker,Sector,Price_USD,Daily_Change_Pct,Market_Cap_Billion,PE_Ratio,Dividend_Yield_Pct
AAPL,Technology,224.30,1.25,3450.0,33.5,0.44
MSFT,Technology,448.90,0.85,3330.0,36.2,0.67
NVDA,Technology,128.20,3.40,3150.0,72.4,0.03
GOOGL,Communication,182.60,-0.45,2260.0,26.8,0.44
AMZN,Consumer Cyclical,186.40,1.10,1940.0,42.1,0.00
META,Communication,512.30,2.15,1300.0,28.5,0.39
BRK.B,Financial,452.10,0.30,980.0,21.4,0.00
TSLA,Consumer Cyclical,254.80,-2.30,810.0,95.2,0.00
LLY,Healthcare,945.20,1.80,898.0,118.5,0.55
AVGO,Technology,168.40,2.65,785.0,48.2,1.25
JPM,Financial,215.60,0.40,618.0,12.3,2.13
WMT,Consumer Defensive,69.50,-0.15,560.0,30.4,1.18
V,Financial,278.90,0.70,550.0,30.1,0.74
UNH,Healthcare,568.30,1.05,525.0,24.6,1.48
MA,Financial,456.70,0.90,425.0,35.8,0.57
PG,Consumer Defensive,168.20,0.20,396.0,27.3,2.40
COST,Consumer Defensive,852.10,1.40,378.0,52.9,0.54
JNJ,Healthcare,156.40,-0.80,375.0,22.1,3.15
HD,Consumer Cyclical,365.20,0.60,362.0,24.1,2.46
BAC,Financial,41.20,0.25,322.0,13.8,2.33
